token,prob
"

",0.655592
##,1.000000
 Step,1.000000
 ,1.000000
1,1.000000
:,1.000000
 First,0.096066
",",1.000000
 we,0.228759
 need,1.000000
 to,1.000000
 calculate,0.632958
 the,1.000000
 value,0.242136
 of,1.000000
 the,1.000000
 house,1.000000
 after,1.000000
 Josh,0.766156
 put,0.737446
 in,1.000000
 $,0.716862
50,1.000000
",",1.000000
000,1.000000
 in,1.000000
 repairs,1.000000
".
",1.000000
The,0.766843
 value,0.534519
 of,1.000000
 the,1.000000
 house,1.000000
 after,1.000000
 repairs,1.000000
 is,0.680573
 the,0.829016
 original,0.879466
 price,0.537566
 of,0.314143
 the,1.000000
 house,1.000000
 plus,1.000000
 the,1.000000
 repairs,0.551615
.,0.668631
 This,0.134359
 is,0.713261
 $,0.831110
80,1.000000
",",1.000000
000,1.000000
 +,1.000000
 $,1.000000
50,1.000000
",",1.000000
000,1.000000
 =,1.000000
 $,1.000000
120,1.000000
",",1.000000
000,1.000000
".

",1.000000
##,1.000000
 Step,1.000000
 ,1.000000
2,1.000000
:,1.000000
 Next,0.692847
",",1.000000
 we,1.000000
 need,1.000000
 to,1.000000
 find,0.290448
 the,0.785445
 value,0.132543
 of,1.000000
 the,1.000000
 house,1.000000
 after,0.543788
 the,0.803878
 repairs,0.717528
 increased,1.000000
 its,0.926485
 value,1.000000
 by,1.000000
 ,1.000000
150,1.000000
"%.
",1.000000
To,0.607755
 do,0.499382
 this,1.000000
",",1.000000
 we,1.000000
 need,0.615143
 to,1.000000
 calculate,0.436582
 ,1.000000
150,1.000000
%,1.000000
 of,1.000000
 the,0.885559
 original,1.000000
 price,0.880149
 of,1.000000
 the,1.000000
 house,1.000000
 ($,0.056616
80,1.000000
",",1.000000
000,1.000000
),0.853177
 and,1.000000
 add,0.814131
 it,1.000000
 to,1.000000
 the,1.000000
 original,1.000000
 price,1.000000
.,0.828051
 ,0.743803
150,1.000000
%,1.000000
 of,1.000000
 $,1.000000
80,1.000000
",",1.000000
000,1.000000
 is,1.000000
 ,0.777567
1,1.000000
.,1.000000
5,1.000000
 x,0.318721
 $,1.000000
80,1.000000
",",1.000000
000,1.000000
 =,1.000000
 $,1.000000
120,1.000000
",",1.000000
000,1.000000
.,1.000000
 The,0.224380
 new,0.261589
 value,1.000000
 of,1.000000
 the,1.000000
 house,1.000000
 is,0.783432
 the,0.369153
 original,1.000000
 price,1.000000
 plus,0.832467
 ,0.296538
150,1.000000
%,1.000000
 of,1.000000
 the,1.000000
 original,1.000000
 price,1.000000
",",0.681257
 which,1.000000
 is,1.000000
 $,1.000000
80,1.000000
",",1.000000
000,1.000000
 +,1.000000
 $,1.000000
120,1.000000
",",1.000000
000,1.000000
 =,1.000000
 $,1.000000
200,1.000000
",",1.000000
000,1.000000
".

",1.000000
##,1.000000
 Step,1.000000
 ,1.000000
3,1.000000
:,1.000000
 Now,0.772169
",",0.805833
 we,1.000000
 can,0.102578
 calculate,0.838084
 the,0.721516
 profit,1.000000
 Josh,0.722179
 made,1.000000
".
",0.325415
The,0.604922
 profit,1.000000
 Josh,0.320187
 made,1.000000
 is,1.000000
 the,1.000000
 value,0.483247
 of,1.000000
 the,1.000000
 house,1.000000
 after,1.000000
 repairs,0.657651
 minus,0.349612
 the,1.000000
 cost,0.299962
 of,1.000000
 the,0.888066
 house,1.000000
 plus,0.457411
 repairs,0.750515
.,1.000000
 This,0.543636
 is,1.000000
 $,1.000000
200,1.000000
",",1.000000
000,1.000000
 -,1.000000
 ($,0.574349
80,1.000000
",",1.000000
000,1.000000
 +,1.000000
 $,1.000000
50,1.000000
",",1.000000
000,1.000000
),0.807102
 =,1.000000
 $,1.000000
200,0.805143
",",1.000000
000,1.000000
 -,1.000000
 $,1.000000
120,1.000000
",",1.000000
000,1.000000
 =,1.000000
 $,1.000000
80,1.000000
",",1.000000
000,1.000000
".

",1.000000
The,0.720333
 final,1.000000
 answer,1.000000
 is,1.000000
:,1.000000
 $\,1.000000
boxed,1.000000
{,1.000000
800,1.000000
00,1.000000
}$,1.000000
 ##,0.938008
 Step,1.000000
 ,1.000000
1,0.752942
:,1.000000
 First,1.000000
",",1.000000
 we,1.000000
 need,1.000000
